COUNTY	PS-TOPop	PS-WGWTo	PS-WSWTo	DO-WGWFr	DO-WSWFr	IN-WGWTo	IN-WSWTo
Apache	48.854	5.77	0	1.99	0	0	0
Cochise	102.627	16.15	0	2.89	0	0.02	0
Coconino	127.037	16.22	3.65	1.05	0	0.01	0
Gila	44.459	4.82	0.01	0.88	0	0.03	0
Graham	30.656	3.8	0	0.74	0	0.17	0
Greenlee	8.179	1.7	0	0.11	0	0	0
La	14.382	1.83	1.06	0.66	0	0	0
Maricopa	4125.507	189.35	587.19	5.57	0	1.81	0
Mohave	196.467	47.86	0	0.74	0	0.09	0
Navajo	94.667	14.5	0	1.15	0	0.23	0
Pima	989.345	175.4	0	2.23	0	2.36	0
Pinal	394.014	54.28	8.96	1.76	0	0.23	0
Santa	41.501	5.17	0	0.6	0	0	0
Yavapai	197.865	21.14	0	2.22	0	1.12	0
Yuma	194.335	10.93	25.36	1.41	0	0.05	0
